nama_variabel,nama_wilayah,tahun,jenis_kelamin,tipe_daerah,presentase
Keluhan Kesehatan Masyarakat,Sulawesi Barat,2017,laki_laki,gabungan,24.84527488
Keluhan Kesehatan Masyarakat,Maluku,2017,laki_laki,gabungan,18.00074071
Keluhan Kesehatan Masyarakat,Maluku Utara,2017,laki_laki,gabungan,15.36629489
Keluhan Kesehatan Masyarakat,Papua Barat,2017,laki_laki,gabungan,19.03714087
Keluhan Kesehatan Masyarakat,Papua,2017,laki_laki,gabungan,16.6033379
Keluhan Kesehatan Masyarakat,INDONESIA,2017,laki_laki,gabungan,27.43837684
Keluhan Kesehatan Masyarakat,Aceh,2017,perempuan,perkotaan,26.010208
Keluhan Kesehatan Masyarakat,Sumatera Utara,2017,perempuan,perkotaan,24.43966211
Keluhan Kesehatan Masyarakat,Sumatera Barat,2017,perempuan,perkotaan,32.02397227
Keluhan Kesehatan Masyarakat,Riau,2017,perempuan,perkotaan,27.95910541
Keluhan Kesehatan Masyarakat,Jambi,2017,perempuan,perkotaan,22.54115775
Keluhan Kesehatan Masyarakat,Sumatera Selatan,2017,perempuan,perkotaan,30.48550374
Keluhan Kesehatan Masyarakat,Bengkulu,2017,perempuan,perkotaan,28.0580588
Keluhan Kesehatan Masyarakat,Lampung,2017,perempuan,perkotaan,26.16344831
Keluhan Kesehatan Masyarakat,Kepulauan Bangka Belitung,2017,perempuan,perkotaan,32.73143293
Keluhan Kesehatan Masyarakat,Kepulauan Riau,2017,perempuan,perkotaan,22.7358116
Keluhan Kesehatan Masyarakat,DKI Jakarta,2017,perempuan,perkotaan,27.43708401
Keluhan Kesehatan Masyarakat,Jawa Barat,2017,perempuan,perkotaan,29.66962557
Keluhan Kesehatan Masyarakat,Jawa Tengah,2017,perempuan,perkotaan,34.41078571
Keluhan Kesehatan Masyarakat,DI Yogyakarta,2017,perempuan,perkotaan,33.63882234
Keluhan Kesehatan Masyarakat,Jawa Timur,2017,perempuan,perkotaan,32.70407443
Keluhan Kesehatan Masyarakat,Banten,2017,perempuan,perkotaan,28.60453564
Keluhan Kesehatan Masyarakat,Bali,2017,perempuan,perkotaan,27.33294061
Keluhan Kesehatan Masyarakat,Nusa Tenggara Barat,2017,perempuan,perkotaan,33.18658781
Keluhan Kesehatan Masyarakat,Nusa Tenggara Timur,2017,perempuan,perkotaan,37.99173492
Keluhan Kesehatan Masyarakat,Kalimantan Barat,2017,perempuan,perkotaan,24.35462382
Keluhan Kesehatan Masyarakat,Kalimantan Tengah,2017,perempuan,perkotaan,28.6513832
Keluhan Kesehatan Masyarakat,Kalimantan Selatan,2017,perempuan,perkotaan,37.57767254
Keluhan Kesehatan Masyarakat,Kalimantan Timur,2017,perempuan,perkotaan,27.01852471
Keluhan Kesehatan Masyarakat,Kalimantan Utara,2017,perempuan,perkotaan,28.09671051
Keluhan Kesehatan Masyarakat,Sulawesi Utara,2017,perempuan,perkotaan,24.42767606
Keluhan Kesehatan Masyarakat,Sulawesi Tengah,2017,perempuan,perkotaan,27.65073035
Keluhan Kesehatan Masyarakat,Sulawesi Selatan,2017,perempuan,perkotaan,26.28754328
Keluhan Kesehatan Masyarakat,Sulawesi Tenggara,2017,perempuan,perkotaan,25.88342634
Keluhan Kesehatan Masyarakat,Gorontalo,2017,perempuan,perkotaan,35.88776819
Keluhan Kesehatan Masyarakat,Sulawesi Barat,2017,perempuan,perkotaan,25.8512125
Keluhan Kesehatan Masyarakat,Maluku,2017,perempuan,perkotaan,21.0840644
